FID,NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Argentina,13,16,13,13,15,15,15,15,15,12,16,15,12,15,15
1,Australia,8,11,12,11,15,14,14,10,12,12,11,11,12,12,12
2,Brazil,4,3,3,3,4,3,2,4,4,3,2,3,3,3,3
3,Chile,7,5,6,7,6,8,8,8,9,10,9,10,13,13,10
4,China,11,11,11,12,12,12,12,13,13,13,13,13,14,12,12
5,Germany,10,9,10,8,10,9,9,10,10,9,7,9,9,8,9
6,Spain,42,31,33,42,43,36,38,36,36,36,35,33,31,45,39
7,Hungary,4,5,3,4,5,3,3,3,3,3,2,3,2,3,3
8,Italy,52,50,43,42,50,51,52,46,47,47,49,43,46,54,44
9,Portugal,7,8,7,7,7,7,8,6,6,6,7,6,6,6,6
10,Romania,5,5,5,6,6,3,5,5,5,7,3,4,3,5,4
11,Russia,3,3,4,5,5,5,6,7,7,7,8,7,6,5,5
12,United_States_of_America,22,19,20,20,20,23,19,20,19,22,21,19,22,24,23
13,South_Africa,7,6,7,9,9,8,9,10,10,10,9,10,11,11,11
14,France,58,53,50,46,57,52,52,46,43,46,44,51,42,42,47
